1|1|Treasurer|1
2|1|President|1
3|1|Secretary|1
4|2|Treasurer|1
5|2|Secretary|1
6|2|Vice President|1
7|3|President|1
8|3|Vice President|1
9|3|Secretary|1
10|4|Secretary|1
11|4|Treasurer|1
12|5|Secretary|1
13|5|Treasurer|1
14|5|President|1
15|5|Vice President|2
16|6|Treasurer|1
17|6|Vice President|2
18|6|President|1
19|7|President|1
20|7|Treasurer|1
21|7|Vice President|1
22|7|Secretary|1
23|8|President|1
24|8|Treasurer|1
25|9|President|1
26|10|President|1
27|10|Treasurer|1
28|10|Secretary|1
29|10|Vice President|2
30|11|President|1
31|11|Treasurer|1
32|12|Secretary|1
33|12|Treasurer|1
34|13|Secretary|1
35|13|Treasurer|1
36|13|Vice President|2
37|14|Vice President|2
38|14|Treasurer|1
39|14|President|1
40|15|President|1
41|15|Secretary|1
42|16|President|1
43|16|Secretary|1
44|16|Vice President|2
45|17|President|1
46|17|Secretary|1
47|18|Vice President|2
48|18|Secretary|1
49|18|Treasurer|1
50|19|Vice President|2
51|19|Treasurer|1
52|20|Secretary|1
53|20|President|1
54|20|Treasurer|1
55|21|Secretary|1
56|22|Treasurer|1
57|22|Secretary|1
58|23|Vice President|1
59|23|Treasurer|1
60|23|President|1
61|24|President|1
62|25|Treasurer|1
63|25|Vice President|1
64|25|Secretary|1
65|26|Secretary|1
66|27|President|1
67|27|Secretary|1
68|27|Vice President|1
69|27|Treasurer|1
70|28|Treasurer|1
71|28|Vice President|1
72|28|Secretary|1
73|29|Vice President|1
74|29|Treasurer|1
75|29|Secretary|1
76|29|President|1
77|30|Vice President|2
78|30|Treasurer|1
79|31|President|1
80|31|Secretary|1
81|31|Treasurer|1
82|31|Vice President|2
83|32|Vice President|1
84|33|President|1
85|33|Vice President|1
86|33|Treasurer|1
87|33|Secretary|1
88|34|Vice President|1
89|35|Vice President|1
90|36|Vice President|2
91|36|Treasurer|1
92|36|Secretary|1
93|36|President|1
94|37|Vice President|1
95|37|Treasurer|1
96|37|Secretary|1
97|37|President|1
98|38|President|1
99|38|Secretary|1
100|39|Vice President|2
101|39|Treasurer|1
102|39|Secretary|1
103|39|President|1
104|40|President|1
105|41|Treasurer|1
106|42|Secretary|1
107|42|Vice President|2
108|42|Treasurer|1
109|42|President|1
110|43|Secretary|1
111|44|President|1
112|44|Vice President|1
113|44|Secretary|1
114|45|Vice President|2
115|45|Secretary|1
116|45|President|1
117|45|Treasurer|1
118|46|Treasurer|1
119|46|President|1
120|46|Secretary|1
121|47|Vice President|2
122|48|Vice President|1
123|49|President|1
124|49|Treasurer|1
125|49|Secretary|1
126|49|Vice President|1
127|50|Treasurer|1
128|51|Secretary|1
129|51|President|1
130|52|Treasurer|1
131|52|President|1
132|52|Vice President|2
133|53|Vice President|1
134|53|Treasurer|1
135|53|Secretary|1
136|54|Secretary|1
137|54|President|1
138|54|Treasurer|1
139|54|Vice President|1
140|55|President|1
141|55|Secretary|1
142|56|Vice President|1
143|56|Secretary|1
144|56|President|1
145|56|Treasurer|1
146|57|Treasurer|1
147|58|Treasurer|1
148|59|Secretary|1
149|59|Treasurer|1
150|60|Treasurer|1
151|60|Vice President|1
152|60|Secretary|1
153|60|President|1
154|61|Secretary|1
155|61|Vice President|2
156|61|President|1
157|61|Treasurer|1
158|62|Secretary|1
159|63|President|1
160|63|Secretary|1
161|64|Secretary|1
162|65|Treasurer|1
163|65|President|1
164|66|President|1
165|66|Vice President|2
166|67|Treasurer|1
167|67|President|1
168|67|Vice President|2
169|67|Secretary|1
170|68|Vice President|2
171|69|Treasurer|1
172|69|Vice President|2
173|70|Vice President|2
174|70|Secretary|1
175|70|President|1
176|71|Vice President|2
177|71|Secretary|1
178|71|President|1
179|71|Treasurer|1
180|72|Vice President|2
181|72|President|1
182|73|Secretary|1
183|73|Vice President|1
184|74|Secretary|1
185|74|President|1
186|75|Treasurer|1
187|75|Secretary|1
188|75|President|1
189|75|Vice President|1
190|76|Treasurer|1
191|76|Secretary|1
192|77|Treasurer|1
